event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end,scenario,bandwidth_used,wait_time
33,0,3,0,0,comm,gradient,0.001,0.0023567252849255836,8388608,3,comm,gradient,0.001,0.0023567252849255836,baseline,50.0,0.0
34,3,15,3,12,comm,gradient,0.001,0.003027851146109548,8388608,15,comm,gradient,0.001,0.003027851146109548,baseline,33.33333333333333,0.0
35,1,5,1,4,comm,gradient,0.001,0.003699227410970264,8388608,5,comm,gradient,0.001,0.003699227410970264,baseline,25.0,0.0
36,0,1,0,0,comm,gradient,0.001,0.004379607938665639,8388608,1,comm,gradient,0.001,0.004379607938665639,baseline,25.0,0.6803274548173797
37,2,9,2,8,comm,gradient,0.001,0.0050510798449255835,8388608,9,comm,gradient,0.001,0.0050510798449255835,baseline,25.0,1.3514198638004393
38,2,11,2,8,comm,gradient,0.001,0.005722205706109548,8388608,11,comm,gradient,0.001,0.005722205706109548,baseline,25.0,2.022509355293841
39,3,13,3,12,comm,gradient,0.001,0.006393581970970264,8388608,13,comm,gradient,0.001,0.006393581970970264,baseline,25.0,2.6938566275756917
40,1,6,1,4,comm,gradient,0.001,0.007073962498665639,8388608,6,comm,gradient,0.001,0.007073962498665639,baseline,25.0,3.374213542003841
41,0,2,0,0,comm,gradient,0.001,0.007745434404925583,8388608,2,comm,gradient,0.001,0.007745434404925583,baseline,25.0,4.04561382949113
42,1,7,1,4,comm,gradient,0.001,0.008416560266109548,8388608,7,comm,gradient,0.001,0.008416560266109548,baseline,25.0,4.716488559565919
43,2,10,2,8,comm,gradient,0.001,0.009087936530970264,8388608,10,comm,gradient,0.001,0.009087936530970264,baseline,25.0,5.387720703139821
44,1,4,2,8,comm,gradient,0.009087936530970264,0.009791603476241027,8388608,4,comm,gradient,0.009087936530970264,0.009791603476241027,baseline,100.0,0.0
45,3,12,0,0,comm,gradient,0.009087936530970264,0.010462751655374025,8388608,12,comm,gradient,0.009087936530970264,0.010462751655374025,baseline,50.0,0.0
46,0,0,1,4,comm,gradient,0.009087936530970264,0.011136925023035775,8388608,0,comm,gradient,0.009087936530970264,0.011136925023035775,baseline,33.33333333333333,0.0
47,2,8,3,12,comm,gradient,0.009087936530970264,0.011809130258306492,8388608,8,comm,gradient,0.009087936530970264,0.011809130258306492,baseline,25.0,0.0
48,2,8,2,10,comm,gradient,0.011809130258306492,0.012494344778763296,8388608,8,comm,gradient,0.011809130258306492,0.012494344778763296,baseline,100.0,0.0
49,0,0,0,3,comm,gradient,0.011809130258306492,0.013165742100635052,8388608,0,comm,gradient,0.011809130258306492,0.013165742100635052,baseline,50.0,0.0
50,1,4,1,6,comm,gradient,0.011809130258306492,0.013836872880370828,8388608,4,comm,gradient,0.011809130258306492,0.013836872880370828,baseline,33.33333333333333,0.0
51,0,0,0,2,comm,gradient,0.011809130258306492,0.014508028740202315,8388608,0,comm,gradient,0.011809130258306492,0.014508028740202315,baseline,25.0,0.0
52,0,0,0,1,comm,gradient,0.011809130258306492,0.015188699338763295,8388608,0,comm,gradient,0.011809130258306492,0.015188699338763295,baseline,25.0,0.6803140870514577
53,3,12,3,14,comm,gradient,0.011809130258306492,0.01586009666063505,8388608,12,comm,gradient,0.011809130258306492,0.01586009666063505,baseline,25.0,1.351671368653301
54,1,4,1,5,comm,gradient,0.011809130258306492,0.01653122744037083,8388608,4,comm,gradient,0.011809130258306492,0.01653122744037083,baseline,25.0,2.022474785540459
55,2,8,2,11,comm,gradient,0.011809130258306492,0.017202383300202316,8388608,8,comm,gradient,0.011809130258306492,0.017202383300202316,baseline,25.0,2.6934893155254445
56,2,8,2,9,comm,gradient,0.011809130258306492,0.017883053898763296,8388608,8,comm,gradient,0.011809130258306492,0.017883053898763296,baseline,25.0,3.37409995978113
57,3,12,3,13,comm,gradient,0.011809130258306492,0.01855445122063505,8388608,12,comm,gradient,0.011809130258306492,0.01855445122063505,baseline,25.0,4.045352172524592
58,1,4,1,7,comm,gradient,0.011809130258306492,0.01922558200037083,8388608,4,comm,gradient,0.011809130258306492,0.01922558200037083,baseline,25.0,4.716224095035764
59,3,12,3,15,comm,gradient,0.011809130258306492,0.019896737860202317,8388608,12,comm,gradient,0.011809130258306492,0.019896737860202317,baseline,25.0,5.3872654612647715
60,0,0,0,0,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,0,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
61,0,1,0,1,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,1,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
62,0,2,0,2,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,2,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
63,0,3,0,3,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,3,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
64,1,4,1,4,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,4,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
65,1,5,1,5,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,5,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
66,1,6,1,6,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,6,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
67,1,7,1,7,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,7,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
68,2,8,2,8,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,8,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
69,2,9,2,9,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,9,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
70,2,10,2,10,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,10,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
71,2,11,2,11,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,11,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
72,3,12,3,12,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,12,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
73,3,13,3,13,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,13,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
74,3,14,3,14,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,14,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
75,3,15,3,15,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,0,15,compute,mb1_fwd,0.019896737860202317,0.020396737860202317,baseline,,
76,0,0,0,0,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,0,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
77,0,1,0,1,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,1,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
78,0,2,0,2,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,2,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
79,0,3,0,3,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,3,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
80,1,4,1,4,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,4,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
81,1,5,1,5,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,5,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
82,1,6,1,6,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,6,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
83,1,7,1,7,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,7,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
84,2,8,2,8,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,8,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
85,2,9,2,9,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,9,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
86,2,10,2,10,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,10,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
87,2,11,2,11,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,11,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
88,3,12,3,12,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,12,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
89,3,13,3,13,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,13,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
90,3,14,3,14,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,0,14,compute,mb1_bwd,0.020396737860202317,0.020896737860202318,baseline,,
